Feature,Importance
1726,0.15756677
2007,0.1319294
2099,0.12157643
637,0.081572786
23,0.08152037
587,0.080787234
91,0.07954658
2618,0.07046506
1614,0.038971882
2646,0.03595151
756,0.03562629
478,0.023927312
687,0.021030352
2008,0.016204396
903,0.009194451
1202,0.007855648
2,0.0024271216
21,0.0015931182
0,0.0011786513
52,0.0010746426
