Feature,Importance
1209,0.017253498105873746
1075,0.016042247034961554
1990,0.014805492615856336
1148,0.014536630441954029
2551,0.012953537950577214
1945,0.012255464240846958
1614,0.011090192410572554
1042,0.010279697995378952
1520,0.010149554276754276
1045,0.008764008247879214
2007,0.008735883766219501
369,0.008097707580239892
1682,0.007953687034487627
1405,0.007941255937159542
667,0.007850654874892931
2035,0.007727856030653762
1180,0.007690309258488522
2054,0.007539828294139604
756,0.007484712470275195
1185,0.007460993551344908
